"config","BA_obs","BA_pred","BA_bias_pct","BA_r2","TPA","TPA_obs","QMD","QMD_obs"
"csi_baseline",94.7225543070072,105.190045609401,11.0506852132251,0.423197759640794,1042.73692052369,1029.32808176,4.92323635511713,4.96820063212073
"sicond_replace",94.7225543070072,105.515099151972,11.3938490404142,0.419001787334602,1045.48374797294,1029.32808176,4.91175273188177,4.96820063212073
"fvssi_replace",94.7225543070072,105.396881551175,11.269044972722,0.419016396217619,1044.36389172024,1029.32808176,4.91816542372648,4.96820063212073
"bgi_as_dmult",94.7225543070072,95.6186037060627,0.945972588694507,-10.4405803301704,821.576855294865,1029.32808176,4.81928103060279,4.96820063212073
"bgi_recenter",94.7225543070072,105.224422646556,11.0869775592313,0.416803344219012,1042.29372230692,1029.32808176,4.92357229344821,4.96820063212073
