PLOT,YEAR_PREV,YEAR_CURR,PERIOD_YR,BA_PREV_FT2AC,BA_CURR_FT2AC,PAI_BA_SURV_FT2ACY,PAI_BA_MORT_FT2ACY,PAI_BA_INGR_FT2ACY,PAI_BA_NET_FT2ACY,MEAN_ANN_DIA_IN_YR,N_GROWTH_RECS,N_MORT_RECS,NOTES
1100,1986,1990,4,3.11,56.11,0.1279,0,13.6539,13.7818,0.35,1,0,
1100,1990,1995,5,56.11,56.67,0.9224,1.6611,0.8503,0.1116,0.06632,38,5,
1100,1995,2000,5,56.67,58.91,0.922,0.8779,0.4054,0.4495,0.0635,40,5,
1101,1990,1995,5,91.26,85.85,1.3777,2.459,0,-1.0813,0.06878,41,8,net BA loss (mortality > growth)
1101,1995,2000,5,85.85,84.94,1.5783,2.0179,0.2579,-0.1817,0.09118,34,7,elevated mortality
1102,1981,1990,9,3.83,63.52,0.0325,0,6.8636,6.8961,0.0778,1,0,
1102,1990,1995,5,63.52,67.84,1.3337,0.847,0.3774,0.8641,0.09333,27,2,
1102,1995,2000,5,67.84,73.87,1.6244,0.5385,0.1205,1.2064,0.11259,27,3,
1103,1995,2000,5,2.45,12.13,0.2003,0,1.7358,1.9361,0.20667,3,0,
1104,1986,1990,4,9.48,53.86,0.0907,0,11.7768,11.8676,0.075,3,0,
1104,1990,1995,5,53.86,53.5,1.3089,1.6958,0.3144,-0.0725,0.1163,27,4,
1104,1995,2000,5,53.5,50.97,1.4237,2.8356,0.9051,-0.5068,0.14261,23,6,elevated mortality
1105,1990,1995,5,103.75,115.01,2.0464,0.3615,0.5672,2.2521,0.06021,97,3,
1105,1995,2000,5,115.01,51.92,0.637,13.4865,0.2308,-12.6188,0.04143,42,60,major disturbance/harvest
1106,1990,1995,5,120.36,104.03,1.4111,5.0177,0.171,-3.4356,0.06182,55,16,net BA loss (mortality > growth)
1106,1995,2000,5,104.03,94.47,1.1061,3.1295,0.1104,-1.9129,0.0492,50,12,net BA loss (mortality > growth)
1107,1986,1990,4,13.96,47.38,0.4655,0,8.8326,9.2981,0.15714,7,0,
1107,1990,1995,5,47.38,59.2,1.5285,0.1835,1.0188,2.3638,0.10474,38,1,
1107,1995,2000,5,59.2,63.74,1.5157,1.1276,0.5193,0.9074,0.08905,42,4,
1108,1986,1990,4,3.27,14.02,0,0.3733,3.5059,3.1326,,0,1,
1108,1990,1995,5,14.02,13.35,0.2596,0.3941,0,-0.1344,0.16,2,1,
1108,1995,2000,5,13.35,20.34,0.2577,0,1.1406,1.3984,0.15,2,0,
1109,1990,1995,5,59.44,67.46,1.2425,0,0.3615,1.6041,0.10167,24,0,
1109,1995,2000,5,67.46,67.57,1.0257,1.2667,0.2619,0.0209,0.0808,25,2,
1110,1990,1995,5,67.18,9.09,0.4722,0,0.4128,0.885,0.3533,3,0,
1110,1995,2000,5,9.09,44.05,-0.1963,0,8.5931,8.3968,-0.48,1,0,
1111,1986,1990,4,15.89,26.36,0.442,0,2.1762,2.6182,0.1156,8,0,
1111,1990,1995,5,26.36,13.3,0.3497,0,0,0.3497,0.11,8,0,
1111,1995,2000,5,13.3,17.46,0.0994,-0.2165,3.0143,2.8972,0.065,4,1,
1112,1986,1990,4,21.9,30.23,0.6998,0,1.7172,2.4169,0.135,10,0,
1112,1990,1995,5,30.23,38,0.2429,-0.3404,3.205,3.1075,0.08,10,1,
1112,1995,2000,5,38,39.01,-1.0468,0,2.4516,1.4048,-0.17,10,0,
1113,1995,2000,5,0,0.44,0,0,0.0873,0.0873,,0,0,
1114,1986,1990,4,76.05,86.38,0.5741,0,2.009,2.5831,0.0673,13,0,
1114,1990,1995,5,86.38,66.79,-2.3109,0,3.0377,0.7269,-0.1259,17,0,
1115,1986,1990,4,34.16,58.54,1.4768,0,4.6176,6.0945,0.2136,11,0,
1115,1990,1995,5,58.54,57.56,-0.196,0,0,-0.196,-0.012,30,0,
1115,1995,2000,5,57.56,57.39,1.5233,0,0.1154,1.6387,0.1383,23,0,
1116,1986,1990,4,77.51,90.09,2.2105,0,0.9344,3.1449,0.2054,14,0,
1116,1990,1995,5,90.09,22.94,-0.0216,-1.763,0,-1.7846,0.032,5,2,
1116,1995,2000,5,22.94,24.19,0.2494,0,0,0.2494,0.056,5,0,
1117,1986,1990,4,49.95,79.65,1.8604,0,5.5647,7.4251,0.2409,11,0,
1117,1990,1995,5,79.65,69.13,-0.1221,0,0,-0.1221,-0.0118,22,0,
1117,1995,2000,5,69.13,74.59,1.7076,0,0,1.7076,0.1495,19,0,
1118,1990,1995,5,29.2,59.02,1.888,0,1.7478,3.6358,0.3429,14,0,
1118,1995,2000,5,59.02,42.27,-0.5692,0,0.4872,-0.082,0.0325,16,0,
